recording_id,source_name,bearing_id,health_state,fault_family,manufacturer,cohort,load_n,rpm,sample_count,duration_seconds,vibration_usable,audio_usable,issues
uored-4f904a844df44ef2,H_6_0,6,healthy,outer_race,FAFNIR 203KD,primary,400.0,1818.0,420000,10.0,True,True,
uored-097e18d456096771,O_6_1,6,developing,outer_race,FAFNIR 203KD,primary,400.0,1818.0,420000,10.0,True,True,
uored-2ea31b6893d5ac13,O_6_2,6,faulty,outer_race,FAFNIR 203KD,primary,400.0,1818.0,420000,10.0,True,True,
uored-288dfe2db8725df8,H_7_0,7,healthy,outer_race,FAFNIR 203KD,primary,400.0,1880.0,420000,10.0,True,True,
uored-9ab58f48e4acbb6f,O_7_1,7,developing,outer_race,FAFNIR 203KD,primary,400.0,1880.0,420000,10.0,True,True,
uored-d48530c06b38748f,O_7_2,7,faulty,outer_race,FAFNIR 203KD,primary,400.0,2190.0,420000,10.0,True,True,
uored-bf9d32225c9f787a,H_8_0,8,healthy,outer_race,FAFNIR 203KD,primary,400.0,1948.0,420000,10.0,True,True,
uored-b2bbc0518deee63c,O_8_1,8,developing,outer_race,FAFNIR 203KD,primary,400.0,1948.0,420000,10.0,True,True,
uored-e763d53c13c93bf1,O_8_2,8,faulty,outer_race,FAFNIR 203KD,primary,400.0,1945.0,420000,10.0,True,True,
uored-8560449e07c1b981,H_9_0,9,healthy,outer_race,FAFNIR 203KD,primary,400.0,1800.0,420000,10.0,True,True,
uored-0a4e1f50a0e9dd71,O_9_1,9,developing,outer_race,FAFNIR 203KD,primary,400.0,1800.0,420000,10.0,True,True,
uored-246d64484efd3a27,O_9_2,9,faulty,outer_race,FAFNIR 203KD,primary,400.0,1800.0,420000,10.0,True,True,
uored-a6b586e52a31d228,H_10_0,10,healthy,outer_race,FAFNIR 203KD,primary,400.0,1796.0,420000,10.0,True,True,
uored-d67fde5fc1b0b4ef,O_10_1,10,developing,outer_race,FAFNIR 203KD,primary,400.0,1796.0,420000,10.0,True,True,
uored-7af3fdce6efcdcaa,O_10_2,10,faulty,outer_race,FAFNIR 203KD,primary,400.0,1796.0,420000,10.0,True,True,
uored-f437eea461f7acc6,H_11_0,11,healthy,ball,FAFNIR 203KD,quarantined_load,400.0,1709.0,420000,10.0,True,True,
uored-2de4371f91527b6c,B_11_1,11,developing,ball,FAFNIR 203KD,quarantined_load,0.0,1709.0,420000,10.0,True,True,
uored-cedf2eb37307d934,B_11_2,11,faulty,ball,FAFNIR 203KD,quarantined_load,0.0,1709.0,420000,10.0,True,True,
uored-177a87240a0933a3,H_12_0,12,healthy,ball,FAFNIR 203KD,quarantined_load,400.0,1720.0,420000,10.0,True,True,
uored-f2699000d538951f,B_12_1,12,developing,ball,FAFNIR 203KD,quarantined_load,0.0,1720.0,420000,10.0,True,True,
uored-9ac9b0fa9f5daf81,B_12_2,12,faulty,ball,FAFNIR 203KD,quarantined_load,0.0,1720.0,420000,10.0,True,True,
uored-78d13c5a971a75fa,H_13_0,13,healthy,ball,FAFNIR 203KD,quarantined_load,400.0,1725.0,420000,10.0,True,True,
uored-eec5aba7a989b049,B_13_1,13,developing,ball,FAFNIR 203KD,quarantined_load,0.0,1725.0,420000,10.0,True,True,
uored-aeba8bcd40276955,B_13_2,13,faulty,ball,FAFNIR 203KD,quarantined_load,0.0,1725.0,420000,10.0,True,True,
uored-368e1ae5188f336c,H_14_0,14,healthy,ball,FAFNIR 203KD,quarantined_load,400.0,1736.0,420000,10.0,True,True,
uored-11760ca80ac9aeaf,B_14_1,14,developing,ball,FAFNIR 203KD,quarantined_load,0.0,1736.0,420000,10.0,True,True,
uored-40bec820d185d634,B_14_2,14,faulty,ball,FAFNIR 203KD,quarantined_load,0.0,1736.0,420000,10.0,True,True,
uored-438843caff6d0da3,H_15_0,15,healthy,ball,FAFNIR 203KD,quarantined_load,400.0,1720.0,420000,10.0,True,True,
uored-7f43bece166ef887,B_15_1,15,developing,ball,FAFNIR 203KD,quarantined_load,0.0,1720.0,420000,10.0,True,True,
uored-d3f694dada6b8dc6,B_15_2,15,faulty,ball,FAFNIR 203KD,quarantined_load,0.0,1722.0,420000,10.0,True,True,
uored-01ce766f00b1a479,H_16_0,16,healthy,cage,FAFNIR 203KD,primary,400.0,1780.0,420000,10.0,True,True,
uored-8f7279cef6168d3b,C_16_1,16,developing,cage,FAFNIR 203KD,primary,400.0,1780.0,420000,10.0,True,True,
uored-d9d3781a24e11007,C_16_2,16,faulty,cage,FAFNIR 203KD,primary,400.0,1700.0,420000,10.0,True,True,
uored-2afa4f6317991448,H_17_0,17,healthy,cage,FAFNIR 203KD,primary,400.0,1800.0,420000,10.0,True,True,
uored-cf26aa50828430e8,C_17_1,17,developing,cage,FAFNIR 203KD,primary,400.0,1800.0,420000,10.0,True,True,
uored-ee21d59e3089894a,C_17_2,17,faulty,cage,FAFNIR 203KD,primary,400.0,1730.0,420000,10.0,True,True,
uored-5f39c246c4a0db48,H_18_0,18,healthy,cage,FAFNIR 203KD,primary,400.0,1780.0,420000,10.0,True,True,
uored-54af1ad549e38a9d,C_18_1,18,developing,cage,FAFNIR 203KD,primary,400.0,1780.0,420000,10.0,True,True,
uored-3416efd4ddf8f366,C_18_2,18,faulty,cage,FAFNIR 203KD,primary,400.0,1780.0,420000,10.0,True,True,
uored-8517082b815f472e,H_19_0,19,healthy,cage,FAFNIR 203KD,primary,400.0,1785.0,420000,10.0,True,True,
uored-7d9455a2512a7f45,C_19_1,19,developing,cage,FAFNIR 203KD,primary,400.0,1785.0,420000,10.0,True,True,
uored-c96bd6c115004df4,C_19_2,19,faulty,cage,FAFNIR 203KD,primary,400.0,1785.0,420000,10.0,True,True,
uored-b111318346ffde61,H_20_0,20,healthy,cage,FAFNIR 203KD,primary,400.0,1778.0,420000,10.0,True,True,
uored-693a3621832a3684,C_20_1,20,developing,cage,FAFNIR 203KD,primary,400.0,1778.0,420000,10.0,True,True,
uored-6e5b0b1fe25fda53,C_20_2,20,faulty,cage,FAFNIR 203KD,primary,400.0,1767.0,420000,10.0,True,True,
